fechahora,duracion,precip,observador,tipo
2023-01-01 07:00:00,2,0.7,JAVIER,1
2023-01-01 11:00:00,0,0.1,JAVIER,1
2023-01-01 14:00:00,0,0.2,JAVIER,1
2023-01-01 16:00:00,0,1.0,JAVIER,1
2023-01-02 00:00:00,0,0.2,JAVIER,1
2023-01-02 08:00:00,2,10.0,JAVIER,1
2023-01-02 12:00:00,0,0.3,JAVIER,1
2023-01-02 17:00:00,0,0.8,JAVIER,1
2023-01-04 11:00:00,1,0.9,EDWIN,1
2023-01-04 23:00:00,1,0.3,EDWIN,1
2023-01-05 08:00:00,0,0.2,EDWIN,1
2023-01-05 15:00:00,0,0.9,EDWIN,1
2023-01-05 17:00:00,1,1.8,EDWIN,1
2023-01-06 15:00:00,1,0.8,IVAN,1
2023-01-08 11:00:00,0,0.1,IVAN,1
2023-01-08 17:00:00,0,0.7,IVAN,1
2023-01-12 15:00:00,0,0.1,TITO,1
2023-01-16 14:00:00,1,0.6,IVAN,1
2023-01-17 00:00:00,0,0.1,IVAN,1
2023-01-17 04:00:00,0,0.5,IVAN,1
2023-01-18 07:00:00,0,0.1,IVAN,1
2023-01-19 01:00:00,2,5.9,IVAN,1
2023-01-19 07:00:00,2,2.6,IVAN,1
2023-01-19 13:00:00,4,2.6,IVAN,1
2023-01-20 02:00:00,0,0.3,EDWIN,1
2023-01-22 08:00:00,0,0.1,EDWIN,1
2023-01-22 12:00:00,0,1.0,EDWIN,1
2023-01-23 07:00:00,0,0.5,TITO,1
2023-01-25 05:00:00,2,5.9,TITO,1
2023-01-25 10:00:00,0,0.1,TITO,1
2023-01-25 14:00:00,0,0.2,TITO,1
2023-01-25 17:00:00,0,0.8,TITO,1
2023-01-26 00:00:00,0,0.1,JAVIER,1
2023-01-26 12:00:00,2,2.4,JAVIER,1
2023-01-27 07:00:00,0,0.3,JAVIER,1
2023-01-27 09:00:00,4,3.7,JAVIER,1
2023-01-27 17:00:00,1,0.3,JAVIER,1
2023-01-28 02:00:00,0,0.1,JAVIER,1
2023-01-28 10:00:00,0,0.1,JAVIER,1
2023-01-28 23:00:00,0,0.7,JAVIER,1
2023-01-29 04:00:00,2,0.5,JAVIER,1
2023-01-29 10:00:00,5,3.9,JAVIER,1
2023-01-29 17:00:00,3,1.3,JAVIER,1
2023-01-29 23:00:00,0,0.2,JAVIER,1
2023-01-30 06:00:00,0,0.1,EDWIN,1
2023-01-31 14:00:00,1,0.5,EDWIN,1
2023-01-31 19:00:00,1,3.7,EDWIN,1
2023-02-01 11:00:00,2,1.3,EDWIN,1
2023-02-02 03:00:00,0,0.3,IVAN,1
2023-02-02 12:00:00,1,0.6,IVAN,1
2023-02-03 06:00:00,0,0.1,IVAN,1
2023-02-03 10:00:00,0,0.2,IVAN,1
2023-02-04 10:00:00,0,0.2,IVAN,1
2023-02-04 12:00:00,1,0.2,IVAN,1
2023-02-04 17:00:00,2,0.4,IVAN,1
2023-02-05 02:00:00,1,0.5,IVAN,1
2023-02-05 05:00:00,2,0.7,IVAN,1
2023-02-05 10:00:00,0,0.1,IVAN,1
2023-02-05 13:00:00,4,4.4,IVAN,1
2023-02-07 07:00:00,1,1.4,JAVIER,1
2023-02-07 10:00:00,1,0.5,JAVIER,1
2023-02-07 13:00:00,3,5.1,JAVIER,1
2023-02-07 18:00:00,1,0.7,JAVIER,1
2023-02-08 06:00:00,1,0.6,JAVIER,1
2023-02-08 18:00:00,0,0.8,JAVIER,1
2023-02-09 04:00:00,0,0.1,EDGAR,1
2023-02-09 14:00:00,0,0.1,EDGAR,1
2023-02-10 13:00:00,0,1.3,EDGAR,1
2023-02-11 13:00:00,0,0.1,EDGAR,1
2023-02-11 23:00:00,1,1.9,EDGAR,1
2023-02-12 03:00:00,0,0.2,EDGAR,1
2023-02-12 16:00:00,0,0.4,EDGAR,1
2023-02-13 12:00:00,1,2.8,HUGO,1
2023-02-13 17:00:00,0,0.4,HUGO,1
2023-02-14 18:00:00,0,0.1,HUGO,1
2023-02-15 09:00:00,0,0.1,HUGO,1
2023-02-15 14:00:00,0,0.6,HUGO,1
2023-02-16 04:00:00,0,0.2,NATALIO,1
2023-02-17 21:00:00,0,0.1,NATALIO,1
2023-02-18 01:00:00,1,1.0,NATALIO,1
2023-02-20 13:00:00,0,3.6,TITO,1
2023-02-21 16:00:00,0,1.1,TITO,1
2023-02-22 14:00:00,0,0.1,TITO,1
2023-02-26 17:00:00,0,1.3,,1
2023-02-26 23:00:00,0,0.1,,1
2023-02-27 07:00:00,0,0.1,,1
2023-02-27 16:00:00,0,0.1,,1
2023-02-27 23:00:00,0,0.1,,1
2023-03-01 15:00:00,1,0.9,,1
2023-03-01 20:00:00,0,0.7,,1
2023-03-01 22:00:00,0,0.1,,1
2023-03-02 17:00:00,1,0.4,,1
2023-03-03 18:00:00,1,0.9,,1
2023-03-06 03:00:00,0,0.1,EDGAR,1
2023-03-08 04:00:00,0,0.3,EDGAR,1
2023-03-11 07:00:00,1,0.4,HUGO,1
2023-03-12 14:00:00,0,0.5,HUGO,1
2023-03-13 13:00:00,0,0.6,HUGO,1
2023-03-13 15:00:00,0,0.1,HUGO,1
2023-03-14 03:00:00,0,0.1,NATALIO,1
2023-03-14 12:00:00,1,1.8,NATALIO,1
2023-03-14 15:00:00,2,3.5,NATALIO,1
2023-03-15 09:00:00,0,0.2,NATALIO,1
2023-03-15 11:00:00,0,0.1,NATALIO,1
2023-03-15 17:00:00,0,0.2,NATALIO,1
2023-03-17 17:00:00,1,1.7,TITO,1
2023-03-18 13:00:00,0,2.3,TITO,1
2023-03-19 13:00:00,1,3.2,TITO,1
2023-03-19 18:00:00,0,0.1,TITO,1
2023-03-20 07:00:00,0,0.3,EDWIN,1
2023-03-20 12:00:00,0,0.1,EDWIN,1
2023-03-20 17:00:00,3,4.8,EDWIN,1
2023-03-21 00:00:00,3,0.8,EDWIN,1
2023-03-21 12:00:00,0,0.2,EDWIN,1
2023-03-21 15:00:00,0,0.2,EDWIN,1
2023-03-22 13:00:00,1,0.2,EDWIN,1
2023-03-23 12:00:00,4,5.1,IVAN,1
2023-03-23 18:00:00,0,0.1,IVAN,1
2023-03-23 21:00:00,17,6.8,IVAN,1
2023-03-26 02:00:00,0,0.1,IVAN,1
2023-03-26 16:00:00,1,1.4,IVAN,1
2023-03-30 07:00:00,2,2.8,EDGAR,1
2023-03-30 13:00:00,1,0.8,EDGAR,1
2023-03-31 02:00:00,0,0.2,EDGAR,1
2023-03-31 08:00:00,0,0.1,EDGAR,1
2023-03-31 14:00:00,0,0.2,EDGAR,1
2023-03-31 20:00:00,0,0.1,EDGAR,1
2023-03-31 22:00:00,0,0.2,EDGAR,1
2023-04-01 02:00:00,1,0.7,EDGAR,1
2023-04-01 12:00:00,0,0.1,EDGAR,1
2023-04-01 17:00:00,0,0.3,EDGAR,1
2023-04-03 17:00:00,0,0.3,EDGAR,1
2023-04-04 12:00:00,0,0.3,HUGO,1
2023-04-04 14:00:00,1,1.1,HUGO,1
2023-04-04 22:00:00,1,6.9,HUGO,1
2023-04-07 13:00:00,0,1.8,NATALIO,1
2023-04-07 16:00:00,0,0.2,NATALIO,1
2023-04-08 15:00:00,1,0.5,NATALIO,1
2023-04-09 20:00:00,0,0.1,NATALIO,1
2023-04-13 10:00:00,0,0.1,TITO,1
2023-04-15 15:00:00,0,0.2,EDWIN,1
2023-04-20 17:00:00,1,0.4,JAVIER,1
2023-05-02 18:00:00,0,4.2,NATALIO,1
2023-05-04 15:00:00,0,0.3,NATALIO,1
2023-05-05 08:00:00,0,0.3,TITO,1
2023-05-05 18:00:00,1,0.3,TITO,1
2023-05-06 05:00:00,0,0.5,TITO,1
2023-05-06 08:00:00,7,12.9,TITO,1
2023-05-06 21:00:00,5,7.0,TITO,1
2023-05-08 19:00:00,1,1.2,EDWIN,1
2023-05-09 00:00:00,0,0.1,EDWIN,1
2023-05-09 03:00:00,0,2.9,EDWIN,1
2023-05-09 20:00:00,1,0.3,EDWIN,1
2023-05-15 13:00:00,0,0.1,JAVIER,1
2023-05-27 15:00:00,0,0.2,NATALIO,1
2023-05-28 07:00:00,0,0.1,NATALIO,1
2023-05-28 13:00:00,0,0.1,NATALIO,1
2023-05-29 00:00:00,0,0.2,TITO,1
2023-05-29 03:00:00,0,1.6,TITO,1
2023-07-21 01:00:00,0,0.1,EDWIN,1
2023-07-29 13:00:00,0,0.1,JAVIER,1
2023-07-29 15:00:00,1,2.2,JAVIER,1
2023-07-30 13:00:00,1,0.3,JAVIER,1
2023-08-05 16:00:00,1,1.0,HUGO,1
2023-08-07 16:00:00,0,0.2,JAVIER,1
2023-08-12 13:00:00,5,3.2,NATALIO,1
2023-08-13 09:00:00,1,1.5,NATALIO,1
2023-08-15 15:00:00,0,0.1,EDWIN,1
2023-08-20 14:00:00,0,0.1,HUGO,1
2023-09-02 02:00:00,0,0.6,JAVIER,1
2023-09-03 06:00:00,2,0.7,JAVIER,1
2023-09-05 16:00:00,1,1.5,NATALIO,1
2023-09-06 13:00:00,2,1.2,NATALIO,1
2023-09-06 18:00:00,2,1.6,NATALIO,1
2023-09-07 05:00:00,2,2.6,NATALIO,1
2023-09-12 23:00:00,1,1.9,IVAN,1
2023-09-19 11:00:00,0,0.2,EDGAR,1
2023-09-19 16:00:00,0,0.3,EDGAR,1
2023-09-20 16:00:00,0,0.1,EDGAR,1
2023-09-26 14:00:00,1,2.4,JAVIER,1
2023-09-27 18:00:00,0,0.2,JAVIER,1
2023-09-28 14:00:00,0,0.1,JAVIER,1
2023-09-29 23:00:00,0,0.2,NATALIO,1
2023-10-01 14:00:00,1,2.1,NATALIO,1
2023-10-06 16:00:00,0,0.1,TITO,1
2023-10-07 14:00:00,0,0.8,TITO,1
2023-10-11 23:00:00,0,0.1,EDGAR,1
2023-10-19 18:00:00,0,0.4,EDGAR,1
2023-10-21 16:00:00,0,0.1,EDGAR,1
2023-10-22 17:00:00,0,1.4,EDGAR,1
2023-10-24 17:00:00,0,0.3,JAVIER,1
2023-11-04 07:00:00,0,0.9,TITO,1
2023-11-04 10:00:00,0,0.3,TITO,1
2023-11-08 21:00:00,1,1.1,JAVIER,1
2023-11-09 07:00:00,0,2.3,JAVIER,1
2023-11-09 13:00:00,0,0.5,JAVIER,1
2023-11-09 17:00:00,0,0.1,JAVIER,1
2023-11-10 22:00:00,0,0.1,EDGAR,1
2023-11-11 01:00:00,1,0.3,EDGAR,1
2023-11-11 15:00:00,3,10.8,EDGAR,1
2023-11-12 08:00:00,2,0.6,EDGAR,1
2023-11-12 16:00:00,0,0.1,EDGAR,1
2023-11-13 00:00:00,0,0.3,EDGAR,1
2023-11-15 18:00:00,0,0.2,TITO,1
2023-11-17 14:00:00,0,0.5,JAVIER,1
2023-11-21 13:00:00,0,0.3,EDGAR,1
2023-11-23 07:00:00,0,2.1,EDGAR,1
2023-11-23 17:00:00,1,0.3,EDGAR,1
2023-11-24 00:00:00,2,0.5,TITO,1
2023-11-24 13:00:00,0,0.1,TITO,1
2023-11-25 04:00:00,6,0.7,TITO,1
2023-11-26 23:00:00,0,3.4,TITO,1
2023-11-27 05:00:00,1,2.7,TITO,1
2023-11-27 13:00:00,1,0.3,TITO,1
2023-11-27 17:00:00,0,0.3,TITO,1
2023-11-27 20:00:00,1,4.3,TITO,1
2023-11-28 18:00:00,0,0.3,JAVIER,1
2023-11-30 14:00:00,0,0.2,JAVIER,1
2023-11-30 16:00:00,0,0.2,JAVIER,1
2023-12-01 02:00:00,0,0.1,EDGAR,1
2023-12-01 10:00:00,2,0.5,EDGAR,1
2023-12-01 16:00:00,0,0.1,EDGAR,1
2023-12-02 05:00:00,1,2.5,EDGAR,1
2023-12-02 10:00:00,0,0.4,EDGAR,1
2023-12-02 14:00:00,0,0.7,EDGAR,1
2023-12-02 16:00:00,2,2.6,EDGAR,1
2023-12-03 02:00:00,0,0.1,EDGAR,1
2023-12-03 13:00:00,0,0.9,EDGAR,1
2023-12-04 15:00:00,0,0.4,TITO,1
2023-12-05 01:00:00,1,1.7,TITO,1
2023-12-05 09:00:00,1,0.3,TITO,1
2023-12-08 09:00:00,2,2.7,JAVIER,1
2023-12-09 14:00:00,1,0.2,JAVIER,1
2023-12-10 23:00:00,2,1.9,JAVIER,1
2023-12-11 08:00:00,2,3.2,EDGAR,1
2023-12-14 18:00:00,1,0.6,TITO,1
2023-12-14 21:00:00,1,1.8,TITO,1
2023-12-15 00:00:00,2,6.7,TITO,1
2023-12-15 07:00:00,1,1.0,TITO,1
2023-12-15 10:00:00,0,0.8,TITO,1
2023-12-15 23:00:00,0,0.2,TITO,1
2023-12-16 17:00:00,0,2.0,TITO,1
2023-12-17 16:00:00,0,0.6,TITO,1
2023-12-18 14:00:00,0,0.6,JAVIER,1
2023-12-19 16:00:00,0,0.4,JAVIER,1
2023-12-21 12:00:00,1,0.3,PERCY,1
2023-12-22 13:00:00,1,2.3,PERCY,1
2023-12-24 08:00:00,1,0.2,PERCY,1
2023-12-26 01:00:00,0,0.1,TITO,1
2023-12-26 06:00:00,0,0.1,TITO,1
2023-12-26 14:00:00,1,1.2,TITO,1
2023-12-29 01:00:00,0,0.4,BERNARDINO,1
2023-12-29 09:00:00,0,0.1,BERNARDINO,1
2023-12-29 17:00:00,0,0.3,BERNARDINO,1
2023-12-30 15:00:00,0,0.2,BERNARDINO,1
2023-12-31 07:00:00,2,3.2,BERNARDINO,1
2023-12-31 17:00:00,0,0.2,BERNARDINO,1
2024-01-01 04:00:00,2,1.1,PERCY,1
2024-01-01 12:00:00,0,0.2,PERCY,1
2024-01-01 18:00:00,0,0.4,PERCY,1
2024-01-03 00:00:00,1,0.2,PERCY,1
2024-01-03 18:00:00,1,1.6,PERCY,1
2024-01-03 22:00:00,0,0.2,PERCY,1
2024-01-04 00:00:00,0,0.2,PERCY,1
2024-01-04 16:00:00,0,0.1,PERCY,1
2024-01-04 22:00:00,0,0.1,PERCY,1
2024-01-05 05:00:00,1,0.5,TITO,1
2024-01-05 10:00:00,0,1.5,TITO,1
2024-01-05 20:00:00,1,0.8,TITO,1
2024-01-06 02:00:00,1,0.2,TITO,1
2024-01-09 01:00:00,0,0.1,BERNARDINO,1
2024-01-10 07:00:00,0,0.1,BERNARDINO,1
2024-01-12 07:00:00,0,0.5,JAVIER,1
2024-01-13 14:00:00,0,1.1,JAVIER,1
2024-01-15 02:00:00,0,0.5,BERNARDINO,1
2024-01-15 12:00:00,2,2.2,BERNARDINO,1
2024-01-15 21:00:00,0,0.1,BERNARDINO,1
2024-01-17 10:00:00,1,0.3,BERNARDINO,1
2024-01-17 17:00:00,1,2.2,BERNARDINO,1
2024-01-18 09:00:00,0,0.1,TITO,1
2024-01-19 10:00:00,0,0.2,TITO,1
2024-01-20 10:00:00,1,1.6,TITO,1
2024-01-23 18:00:00,0,0.6,JAVIER,1
2024-01-23 23:00:00,0,3.1,JAVIER,1
2024-01-24 17:00:00,0,0.1,JAVIER,1
2024-01-25 21:00:00,2,5.1,,1
2024-01-26 10:00:00,0,0.4,,1
2024-01-27 13:00:00,0,0.8,,1
2024-01-28 17:00:00,0,0.2,,1
2024-01-28 22:00:00,0,0.1,,1
2024-01-29 00:00:00,1,4.2,,1
2024-01-29 04:00:00,2,4.3,,1
2024-01-29 12:00:00,0,1.6,,1
2024-01-29 15:00:00,1,5.5,,1
2024-01-30 03:00:00,2,1.6,,1
2024-01-30 07:00:00,1,0.2,,1
2024-01-30 14:00:00,2,1.9,,1
2024-01-30 18:00:00,0,0.1,,1
2024-01-31 04:00:00,0,0.1,,1
